index,name,prompt
1,None,Use no ad-libs; keep every vocal line clean and uninterrupted.
2,Sparse Accent Ad-Libs,Add only a few short parenthetical accents at major punches and transitions.
3,Frequent Hype Ad-Libs,"Use frequent concise hype responses, echoes, and crew accents in parentheses without crowding the lead."
4,Callout Layers,"Layer repeated callouts, answer phrases, and left-right vocal responses around key lines."
5,Atmospheric Vocal Textures,"Use breath sounds, hums, whispers, and wordless vocal layers as atmosphere rather than hype."
6,Completely Dry,Use only the lead lyric with no parenthetical phrases echoes crowd replies hums or extra vocal layers.
7,Whispered Echoes,Place a few quiet whispered repeats after emotionally important words and at section transitions.
8,Crew Responses,Add short group replies behind key boasts hook lines and final words without covering the lead.
9,Call-and-Response,Leave rhythmic gaps for a second voice or crowd to answer selected lead phrases with concise replies.
10,Comedic Reactions,Add brief surprised sarcastic or exaggerated reactions that sharpen jokes without becoming a second lyric.
11,Rage Shouts,Use short explosive shouted words breaths and crowd bursts mainly around drops hooks and breakdowns.
12,Gospel Responses,Add supportive choir answers affirmations and rising held responses around testimony-like lead lines.
13,Dancehall Hype,Use rhythmic selector-style callouts rewinds and crowd prompts sparingly around transitions and hook returns.
14,Producer-Tag Style,Use one short original signature-style vocal tag at the opening or a major transition; never copy a real producer tag.
15,Ambient Vocal Textures,Use wordless hums breaths distant vowel layers and reversed whispers as atmosphere rather than lyrical replies.
