index,name,prompt
1,Soft,"Keep the performance gentle, restrained, and non-confrontational."
2,Controlled,Maintain quiet confidence with occasional sharp accents rather than constant force.
3,Strong,"Use assertive delivery, firm rhythm, and clear confrontational energy."
4,Maximum Impact,"Push maximum controlled aggression, hard entrances, decisive punchlines, and explosive hook energy."
5,Escalating,"Begin calm and controlled, then increase aggression section by section toward the final chorus."
6,None,Keep the voice calm and non-confrontational with soft drum impact and no aggressive lyrical posture.
7,Gentle,Use warm restrained delivery and rounded dynamics with only light emphasis at emotional turns.
8,Low Simmer,Hold controlled tension under the surface with clipped accents and one or two sharper peaks.
9,Moderate,Balance steady confident force with breathing room; verses stay controlled and hooks land firmly.
10,Hard-Hitting,Use forceful entrances punchy drums assertive phrasing and decisive hook impact without constant shouting.
11,Explosive,Create sudden high-contrast bursts of vocal and drum energy especially at hooks drops and final payoffs.
12,Relentless,Sustain intense forward pressure with hard articulation dense drum impact and almost no soft release.
13,Breakdown Peak,Keep earlier sections controlled then concentrate the strongest vocal drum and lyrical aggression in the breakdown.
14,Dynamic Swells,Alternate restrained passages with rising waves of force so each major peak feels larger than the last.
,Feather-Light,"Use Feather-Light intensity, shaping vocal force, drum impact, density, distortion and section-to-section dynamics."
,Tender but Building,"Use Tender but Building intensity, shaping vocal force, drum impact, density, distortion and section-to-section dynamics."
,Steady Mid-Level Drive,"Use Steady Mid-Level Drive intensity, shaping vocal force, drum impact, density, distortion and section-to-section dynamics."
,Confident and Punchy,"Use Confident and Punchy intensity, shaping vocal force, drum impact, density, distortion and section-to-section dynamics."
,High-Energy Celebration,"Use High-Energy Celebration intensity, shaping vocal force, drum impact, density, distortion and section-to-section dynamics."
,Controlled Fury,"Use Controlled Fury intensity, shaping vocal force, drum impact, density, distortion and section-to-section dynamics."
,Sudden Explosive Peaks,"Use Sudden Explosive Peaks intensity, shaping vocal force, drum impact, density, distortion and section-to-section dynamics."
,Full-Throttle Live Band,"Use Full-Throttle Live Band intensity, shaping vocal force, drum impact, density, distortion and section-to-section dynamics."
,Club Peak Intensity,"Use Club Peak Intensity intensity, shaping vocal force, drum impact, density, distortion and section-to-section dynamics."
,Cinematic Crescendo,"Use Cinematic Crescendo intensity, shaping vocal force, drum impact, density, distortion and section-to-section dynamics."
