index,name,prompt,negative_prompt,category,weight,favorite
1,Beat-Synced Reveal,Time the visual reveal to one clear musical beat while keeping the motion continuous.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Timing Cues,1.0,False
2,Accent on Transition,Place one restrained audio accent exactly on the transition point.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Timing Cues,1.0,False
3,Timed Swell,"Build a smooth musical swell into the specified reveal, then settle cleanly.","clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Timing Cues,1.0,False
4,Soft Cadence,End the cue with a soft cadence that supports a stable final hold.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Timing Cues,1.0,False
5,Silence Before Impact,Create a short intentional silence immediately before one motivated impact.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Timing Cues,1.0,False
6,Dialogue Sync,Synchronize visible speech timing to the supplied dialogue while preserving natural pauses.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Timing Cues,1.0,False
7,Lip Sync,Match mouth shapes and timing precisely to the supplied vocal audio; do not invent extra speech.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Timing Cues,1.0,False
8,Choreography-to-Beat Sync,Align major movement beats to the supplied rhythm while preserving the reference choreography.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Timing Cues,1.0,False
9,Footstep Sync,Synchronize each visible footfall to its matching sound without adding extra steps.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Timing Cues,1.0,False
10,Gesture Accent,Place one subtle sound or musical accent on the specified hand gesture.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Timing Cues,1.0,False
11,Cut on Beat,Use one simple cut exactly on the selected beat; do not add extra cuts.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Timing Cues,1.0,False
12,Camera Move on Downbeat,Begin the planned camera move on the downbeat and keep its speed controlled.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Timing Cues,1.0,False
13,Reveal After Pause,"Hold brief silence, then begin the reveal on the next clear cue.","clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Timing Cues,1.0,False
14,Final-Hold Decay,Let the audio decay naturally during the final stable hold.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Timing Cues,1.0,False
15,Continuous Source Audio,Keep the supplied source audio continuous across the entire clip with no reset.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Timing Cues,1.0,False
16,Audio Handoff,End on a clean audio tail or sustained ambience suitable for the next clip.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Timing Cues,1.0,False
