name,category,prompt,negative_prompt
none,Control,,
random,Control,,
Acacia-Dotted Grassland — Clear Daylight,African savanna,"acacia-dotted grassland, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Red-Earth Outback Road — Clear Daylight,Australian outback,"red-earth outback road, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Dense Tropical Rainforest — Clear Daylight,Rainforest,"dense tropical rainforest, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Overgrown Jungle Trail — Clear Daylight,Jungle,"overgrown jungle trail, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Sweeping Sand Dunes — Clear Daylight,Desert,"sweeping sand dunes, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
High Alpine Ridge — Clear Daylight,Mountains,"high alpine ridge, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Windswept Snowfield — Clear Daylight,Snowfields,"windswept snowfield, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Wide River Bend — Clear Daylight,Rivers,"wide river bend, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Towering Waterfall Basin — Clear Daylight,Waterfalls,"towering waterfall basin, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Misty Marshland — Clear Daylight,Wetlands,"misty marshland, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Wide Sandy Beach — Clear Daylight,Beaches,"wide sandy beach, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Colourful Coral Reef — Clear Daylight,Coral reefs,"colourful coral reef, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Open Ocean Surface — Clear Daylight,Open ocean,"open ocean surface, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Submerged Limestone Cave — Clear Daylight,Underwater caves,"submerged limestone cave, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Deep-Sea Trench Floor — Clear Daylight,Deep-sea trenches,"deep-sea trench floor, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Rusted Shipwreck Corridor — Clear Daylight,Shipwreck interiors,"rusted shipwreck corridor, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Modern City Avenue — Clear Daylight,Modern cities,"modern city avenue, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Quiet Suburban Street — Clear Daylight,Suburbs,"quiet suburban street, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Small Country Main Street — Clear Daylight,Country towns,"small country main street, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Bright Petrol Station Forecourt — Clear Daylight,Petrol stations,"bright petrol station forecourt, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Modern Motorway Rest Stop — Clear Daylight,Motorway rest stops,"modern motorway rest stop, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
