index,name,prompt,negative_prompt,category,weight,favorite
1,Mountain Pose,"Use Mountain Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Mountain Pose once after the outfit and hairstyle are established, then holds Mountain Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
2,Tree Pose,"Use Tree Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Tree Pose once after the outfit and hairstyle are established, then holds Tree Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
3,Chair Pose,"Use Chair Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Chair Pose once after the outfit and hairstyle are established, then holds Chair Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
4,Warrior I Pose,"Use Warrior I Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Warrior I Pose once after the outfit and hairstyle are established, then holds Warrior I Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
5,Warrior II Pose,"Use Warrior II Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Warrior II Pose once after the outfit and hairstyle are established, then holds Warrior II Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
6,Warrior III Pose,"Use Warrior III Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Warrior III Pose once after the outfit and hairstyle are established, then holds Warrior III Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
7,Reverse Warrior Pose,"Use Reverse Warrior Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Reverse Warrior Pose once after the outfit and hairstyle are established, then holds Reverse Warrior Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
8,Humble Warrior Pose,"Use Humble Warrior Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Humble Warrior Pose once after the outfit and hairstyle are established, then holds Humble Warrior Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
9,Triangle Pose,"Use Triangle Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Triangle Pose once after the outfit and hairstyle are established, then holds Triangle Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
10,Revolved Triangle Pose,"Use Revolved Triangle Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Revolved Triangle Pose once after the outfit and hairstyle are established, then holds Revolved Triangle Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
11,Extended Side Angle Pose,"Use Extended Side Angle Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Extended Side Angle Pose once after the outfit and hairstyle are established, then holds Extended Side Angle Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
12,Revolved Side Angle Pose,"Use Revolved Side Angle Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Revolved Side Angle Pose once after the outfit and hairstyle are established, then holds Revolved Side Angle Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
