index,name,prompt,negative_prompt,category,weight,favorite
1,Mountain Pose,Mountain Pose,,Yoga Pose,1,
2,Tree Pose,Tree Pose,,Yoga Pose,1,
3,Chair Pose,Chair Pose,,Yoga Pose,1,
4,Warrior I Pose,Warrior I Pose,,Yoga Pose,1,
5,Warrior II Pose,Warrior II Pose,,Yoga Pose,1,
6,Warrior III Pose,Warrior III Pose,,Yoga Pose,1,
7,Reverse Warrior Pose,Reverse Warrior Pose,,Yoga Pose,1,
8,Humble Warrior Pose,Humble Warrior Pose,,Yoga Pose,1,
9,Triangle Pose,Triangle Pose,,Yoga Pose,1,
10,Revolved Triangle Pose,Revolved Triangle Pose,,Yoga Pose,1,
11,Extended Side Angle Pose,Extended Side Angle Pose,,Yoga Pose,1,
12,Revolved Side Angle Pose,Revolved Side Angle Pose,,Yoga Pose,1,
13,Half Moon Pose,Half Moon Pose,,Yoga Pose,1,
14,Revolved Half Moon Pose,Revolved Half Moon Pose,,Yoga Pose,1,
15,Standing Forward Bend Pose,Standing Forward Bend Pose,,Yoga Pose,1,
16,Standing Half Forward Bend Pose,Standing Half Forward Bend Pose,,Yoga Pose,1,
17,Wide-Legged Forward Bend Pose,Wide-Legged Forward Bend Pose,,Yoga Pose,1,
18,Pyramid Pose,Pyramid Pose,,Yoga Pose,1,
19,Eagle Pose,Eagle Pose,,Yoga Pose,1,
20,Dancer Pose,Dancer Pose,,Yoga Pose,1,
21,Standing Hand-to-Big-Toe Pose,Standing Hand-to-Big-Toe Pose,,Yoga Pose,1,
22,Garland Pose,Garland Pose,,Yoga Pose,1,
23,High Lunge Pose,High Lunge Pose,,Yoga Pose,1,
24,Low Lunge Pose,Low Lunge Pose,,Yoga Pose,1,
25,Crescent Lunge Pose,Crescent Lunge Pose,,Yoga Pose,1,
26,Lizard Pose,Lizard Pose,,Yoga Pose,1,
27,Staff Pose,Staff Pose,,Yoga Pose,1,
28,Easy Pose,Easy Pose,,Yoga Pose,1,
29,Lotus Pose,Lotus Pose,,Yoga Pose,1,
30,Half Lotus Pose,Half Lotus Pose,,Yoga Pose,1,
31,Seated Forward Bend Pose,Seated Forward Bend Pose,,Yoga Pose,1,
32,Wide-Angle Seated Forward Bend Pose,Wide-Angle Seated Forward Bend Pose,,Yoga Pose,1,
33,Bound Angle Pose,Bound Angle Pose,,Yoga Pose,1,
34,Hero Pose,Hero Pose,,Yoga Pose,1,
35,Thunderbolt Pose,Thunderbolt Pose,,Yoga Pose,1,
36,Cow Face Pose,Cow Face Pose,,Yoga Pose,1,
37,Half Lord of the Fishes Pose,Half Lord of the Fishes Pose,,Yoga Pose,1,
38,Boat Pose,Boat Pose,,Yoga Pose,1,
39,Compass Pose,Compass Pose,,Yoga Pose,1,
40,Fire Log Pose,Fire Log Pose,,Yoga Pose,1,
41,Child's Pose,Child's Pose,,Yoga Pose,1,
42,Rabbit Pose,Rabbit Pose,,Yoga Pose,1,
