name,prompt,negative_prompt,category,weight,favorite
Sultry Gaze Portrait,"close up portrait of stunning woman with intense smoldering gaze, glistening wet lips slightly parted, sweat droplets on collarbone, golden hour backlight creating rim light around hair","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed",General,1,
Standing Tease Against Wall,"full body shot of woman leaning against textured brick wall, one leg slightly bent to accentuate thigh curve, fingers playing with bottom button of unbuttoned denim jeans, wind blowing hair across face, confident smirk","low quality...",Standing,1,
Sitting on Couch Lap,"woman sitting on plush velvet sofa, legs crossed elegantly, wearing silk slip dress that rides up revealing lace thigh highs, arms resting behind head, looking down with innocent expression","low quality...",Sitting/Kneeling,1,
Kneeling Prayer Pose,"woman kneeling on soft rug, hands pressed together in prayer, wearing sheer white robe over lace bra and panties, back arched forward exposing cleavage, eyes closed sensually","low quality...",Kneeling/Crawling,1,
Lying Supine Bed,"model lying flat on rumpled white sheets, arms stretched above head, wearing oversized men's button-down shirt unbuttoned halfway showing strapless bra, gazing up at camera with parted lips","low quality...",Lying/Supine,1,
Prone Arching Back,"woman lying on stomach on leather chaise lounge, hips lifted high in exaggerated arch, wearing micro lace thong and no top, head turned to side looking over shoulder, hands gripping mattress edges","low quality...",Prone/Bending,1,
Exposed Unbuttoned Shirt,"close up of woman unbuttoning crisp white shirt slowly, one button revealed showing dark bra cup, fingers deftly working on fabric collar, soft focus background with bokeh lights","low quality...",Exposed/Teasing,1,
Hand Masturbation Stroke,"woman sitting on edge of bed, wearing black lace bodysuit, right hand gently stroking inner thigh near hem, head tilted back exposing throat, expression of pure pleasure, sweat glistening on skin","low quality...",Masturbation,1,
Straddle Partner Pose,"woman straddling partner's lap facing camera, partner behind her torso visible but face obscured, she wears red lingerie set, hands resting on partner's shoulders, biting lower lip seductively","low quality...",Sexual/Partnered,1,
Neon Light Silhouette,"backlit silhouette of woman against neon pink and blue wall, curves highlighted by rim lighting, sheer lace panty visible, one hand tracing hip curve, dramatic shadows","low quality...",Lighting/Environment,1,
Wet Look Bikini,"woman standing in shallow water wearing wet transparent white bikini, fabric clinging to nipples and crotch, droplets running down torso, hair plastered to chest, biting lip with intense eyes","low quality...",General,1,
Mirror Selfie Tease,"reflection in large ornate mirror, woman holding phone up for selfie while pulling bikini bottom to side, revealing perfect butt cheek, bedroom setting warm lighting, playful wink","low quality...",Standing,1,
Lap Sit Dance,"woman sitting on man's lap facing away, looking over shoulder with sultry expression, wearing short leather dress, one hand pulling knee high boot strap up, hands resting on partner's thighs","low quality...",Sitting/Kneeling,1,
Kneeling Stretch,"woman kneeling tall, arms extended upward stretching fingers, wearing tight yoga outfit that highlights curves, sweat glistening on abs, deep breath showing chest expansion, serene yet sensual look","low quality...",Kneeling/Crawling,1,
Hammock Suspended,"woman lying in rope hammock outdoors, swaying slightly, wearing red lace bra and thong, sun filtering through leaves creating dappled light on body, hair spread on pillow, legs relaxed open","low quality...",Lying/Supine,1,
Over Shoulder Bend,"woman bending over at waist with straight back, holding onto dresser edge, wearing short black mini skirt that rides up high, showing lace thong and bare thighs, looking back with raised eyebrow","low quality...",Prone/Bending,1,
Sheer Dress Reveal,"full body shot of woman in floor length sheer white dress, nude slip underneath visible but slightly askew, one strap slipping off shoulder, fingers gripping fabric at hip, wind blowing dress up slightly","low quality...",Exposed/Teasing,1,
Finger Play Lingerie,"close up of woman's hands playing with straps of black lace bra, wearing matching thong, sitting on velvet cushion, lips painted deep red, eyes half closed looking through lashes","low quality...",Masturbation,1,
Cradle Partner Embrace,"woman lying on back in partner's lap, head resting on chest, wearing silk chemise that slides off one shoulder, partner's hand splayed over her stomach, both faces relaxed and intimate","low quality...",Sexual/Partnered,1,
Volumetric Fog Studio,"model standing in studio with volumetric fog beams, wearing latex bodysuit zipped low, rim light cutting through fog highlighting wet texture of material, hair blown back, intense stare","low quality...",Lighting/Environment,1,
Silk Scarf Tease,"woman seated at table wearing elegant black evening gown, long silk scarf draped loosely around neck and slipping down one arm, biting edge of scarf seductively, candlelight flickering on face","low quality...",General,1,
Jeans Unzipped Low,"woman standing holding jacket open, wearing low rise jeans unzipped slightly to show lace bralette underneath, hands gripping waistband pulling apart, smirking at camera, urban alley background","low quality...",Standing,1,
Crossed Legs Office,"woman sitting in office chair facing camera, legs crossed tightly, pencil skirt hugging hips and thighs, blouse buttoned tight showing cleavage, pen twirling between fingers, glasses sliding down nose","low quality...",Sitting/Kneeling,1,
Crawling on Carpet,"woman crawling slowly towards camera on all fours, wearing fishnet stockings and lace garter belt, sheer camisole riding up, back arched, hair cascading forward, eyes locked with viewer","low quality...",Kneeling/Crawling,1,
Bedside Lamp Glow,"woman lying on side facing camera, illuminated by warm bedside lamp, wearing satin nightie clinging to curves, hand resting on hip, sheets tangled around legs, expression dreamy and inviting","low quality...",Lying/Supine,1,
Window Ledge Stretch,"woman perched on wide window ledge with curtain blowing in wind, wearing oversized sweater with one shoulder exposed, bare feet dangling, knees pulled to chest, looking out thoughtfully then smiling at camera","low quality...",Prone/Bending,1,
Corset Lacing Detail,"focus on woman's back as partner hands lace up red corset, curves emphasized by tight boning, lace bralette visible below, head turned away with flushed cheeks, intimate bedroom setting","low quality...",Exposed/Teasing,1,
Thigh Masturbation Closeup,"macro shot of woman's hand stroking inner thigh while lying back, wearing torn fishnet stocking pulled down, black nails contrasting pale skin, leg slightly raised, sensual atmosphere","low quality...",Masturbation,1,
Rear Straddle View,"woman straddling partner from behind facing away, arms wrapped around partner's neck, wearing tiny lace teddy, hips pressing close, partner's hands on her waist, head tilted back joyfully","low quality...",Sexual/Partnered,1,
Rain Window Condensation,"model pressed against cold glass window with rain droplets outside, condensation forming on glass near face, wearing oversized t-shirt and panties, drawing smiley face in fog, playful wet hair","low quality...",Lighting/Environment,1,
Choker Neckline Shot,"extreme close up of woman's neck and chest, wearing velvet choker with pendant resting in cleavage, skin glistening with oil, collarbones defined, lips slightly parted out of frame, dark moody background","low quality...",General,1,
Pool Edge Drip,"woman sitting on pool edge barefoot, dripping wet swimsuit clinging to body, hands wringing out hair over face, water droplets running down legs, sunlight sparkling on skin, tropical foliage background","low quality...",Standing,1,
Futon Spread,"woman lying on low futon with legs spread wide, wearing sheer white pantyhose and bralette, arms thrown back casually, one sock pulled down to ankle, soft natural window light","low quality...",Lying/Supine,1,
Kitchen Counter Hip,"woman leaning forward against kitchen island counter, wearing tight turtleneck and short skirt, hips cocked to side, fingers drumming on counter edge, looking up with mischievous grin","low quality...",Prone/Bending,1,
Bikini String Pull,"model standing on beach at sunset, holding string of bikini top between teeth, hands adjusting straps over head, wet skin glowing, hair blowing wild, ocean waves in background","low quality...",Exposed/Teasing,1,
Pillow Squeeze Masturbation,"woman lying on stomach hugging fluffy pillow to chest, wearing lace teddy with crotch cutout, hips lifted off mattress, face buried slightly in pillow with one eye peeking out looking at camera","low quality...",Mastibration,1,
Wing Back Chair Dip,"woman sitting deep in wingback chair, legs crossed high revealing hem of short dress and garter belt, leaning forward elbows on knees, hands clasped between ankles, looking up through lashes","low quality...",Sitting/Kneeling,1,
Tight Latex Shine,"full body studio shot of woman in glossy black latex catsuit, zipper pulled down to navel, wet look finish, spotlight creating reflections on curves, hair sleek and back, fierce expression","low quality...",General,1,
Doorway Frame Lean,"woman leaning sideways in open doorway frame, wearing slip dress with slit up to hip, one hand gripping door jamb, leg bent at knee pressing against frame, soft hallway lighting behind her","low quality...",Standing,1,
Couch Throw Blanket,"model wrapped loosely in chunky knit throw blanket on sofa, only one eye and shoulder visible peeking out, wearing fuzzy socks, holding mug of tea, cozy sensual vibe, fireplace glow background","low quality...",Sitting/Kneeling,1,
Kneeling Towel Dry,"woman kneeling on bathroom tiles after shower, wrapped in fluffy white towel around chest, water droplets on skin, hands holding ends of towel, looking down with modest shy expression, steamy mirror reflection","low quality...",Kneeling/Crawling,1,
Bathtub Edge Drip,"sitting on edge of clawfoot tub, legs dangling inside water, wearing black lace bra soaked through clinging to nipples, panties pulled to one side dripping onto tiles, hair pinned up loosely","low quality...",Lying/Supine,1,
Garage Door Light,"woman standing in garage with large door open behind her creating silhouette, backlit by street light, wearing mesh top and high waist shorts, leaning against workbench, gritty urban texture background","low quality...",Lighting/Environment,1,
Braided Hair Tease,"close up of woman braiding her own hair while looking in mirror, wearing sheer robe over lace set, back exposed from angle, one strap slipping down shoulder, soft focus romantic aesthetic","low quality...",Exposed/Teasing,1,
Cable Masturbation,"woman lying on bed with legs hooked around bedpost, wearing lacy bodysuit unzipped at front, hand sliding up thigh inside bodysuit, hips arching slightly off mattress, eyes fluttering shut","low quality...",Masturbation,1,
Dance Partner Spin,"woman spinning in partner's arms in dimly lit ballroom, wearing flowing silk dress that flares out, hands gripping partner's shoulders, hair flying, expression of ecstasy and movement blur effect","low quality...",Sexual/Partnered,1,
Neon Sign Reflection,"standing near neon cafe sign casting pink glow on face and body, wearing leather jacket open over bralette, hands in pockets leaning casually, rain slick street background, cinematic mood","low quality...",Lighting/Environment,1,
Sweat Gym Bandana,"woman sitting on gym mat wiping sweat from brow with wristband, wearing sports bra and leggings hugging curves, dripping moisture, messy bun hair, intense focus look, locker room setting","low quality...",General,1,
Staircase Descent,"walking down wooden staircase, holding banister with one hand, other hand resting on hip, wearing form fitting dress that shows leg movement, looking up over shoulder, warm tungsten light above","low quality...",Standing,1,
Window Seat Book,"sitting in deep window seat with knees drawn up, wearing oversized cardigan and panties underneath, reading book but looking up over pages with teasing smile, sunlight streaming in dust motes","low quality...",Sitting/Kneeling,1,
Crawling Under Table,"crawling on hands and knees under low dining table, wearing short skirt that rides high, looking out from under table at camera, head tilted, playful seductive expression, candlelight flickering","low quality...",Kneeling/Crawling,1,
Bed Frame Cling,"standing close to wrought iron bed frame, one leg hooked around bars, wearing silk nightgown clinging wet look, hands gripping bars above head, body arched back slightly, moody shadowy light","low quality...",Prone/Bending,1,
Lap Lap Pillow,"model lying across partner's lap facing camera, partner rubbing feet, wearing loose shorts pulled down to hips and bralette, hair spread on lap, peaceful intimate moment, bedroom door ajar soft light","low quality...",Sexual/Partnered,1,
Finger Lash Tease,"close up of woman using index finger to gently pull lower eyelid down while looking at camera, seductive half smile, wearing smoky eye makeup and glossy lips, skin pore detail visible macro style","low quality...",General,1,
Hammock Swing Pose,"lying in hammock with one leg hanging down and other bent, wearing crochet bikini coverup open showing lace bra underneath, holding drink glass dangling from hand, beach hut background blurred","low quality...",Lying/Supine,1,
Bike Handlebar Lean,"leaning forward over bike handlebars wearing tight cycling kit, chest compressed slightly by position, hands gripping bars, looking back over shoulder with flushed face, asphalt road background motion blur","low quality...",Standing,1,
Chaise Lounge Recline,"reclining on vintage chaise lounge sideways, one arm dangling off edge, wearing red lingerie set, legs crossed at ankles elevated, holding fan partially covering face, dramatic velvet backdrop","low quality...",Lying/Supine,1,
Doorframe Twist,"twisting body in doorway with back to camera, looking over shoulder to wink, wearing high slit dress hugging hips and waist, one hand adjusting strap, golden hour light washing out background slightly","low quality...",Standing,1,
Sheet Pull Masturbation,"lying on stomach pulling sheer sheet up over hips with both hands, lace panties visible underneath wet fabric, face turned into pillow with ear showing, sensual shadow play on walls","low quality...",Masturbation,1,
Rope Swing Garden,"sitting on rope swing in garden holding chains at waist level, wearing sundress lifted slightly showing leg and garter, kicking legs out playfully, sunlight filtering through leaves dappled skin","low quality...",Sitting/Kneeling,1,
Bench Stretch Arms,"sitting on park bench stretching arms straight behind leaning forward back arched, wearing tank top and shorts accentuating torso curves, sweat glistening, hair tied back looking at camera casually","low quality...",Prone/Bending,1,
Ladder Lean Back,"standing sideways against wooden ladder leaning back hips, wearing overalls unbuttoned low revealing lace bralette inside, holding rung with hands, sun flare hitting lens creating dreamy haze effect","low quality...",Standing,1,
Floor Stretch Legs,"lying on floor doing splits stretching forward touching toes, wearing tight bodysuit highlighting inner thighs and waist, arms extended reaching, looking up at ceiling camera above capturing full body pose","low quality...",Prone/Bending,1,
Towel Wrap Twist,"twisting towel around torso in steamy bathroom, wearing only panties underneath wet hair wrapped in secondary towel, mirror fogged with hand writing, soft diffused light from shower door","low quality...",General,1,
Car Seat Belt Pull,"sitting in car driver seat pulling seatbelt across chest slowly, wearing silk camisole clinging to curves, one leg crossed over other, hands adjusting buckle looking at passenger side camera","low quality...",Sitting/Kneeling,1,
Fence Lean Legs,"leaning back against chain link fence with feet planted wide, holding onto wire mesh at hips, wearing lace bra and short skirt, background industrial texture soft focus, sunlight creating grid shadows on body","low quality...",Standing,1,
Stool High Hip,"sitting on high bar stool with one leg dropped down hip cocked up, wearing sequin mini dress shimmering, hands resting on thighs biting lip, neon bar lights bokeh background vibrant colors","low quality...",Sitting/Kneeling,1,
Curtain Pull Glimpse,"standing behind sheer curtain pulling fabric to side with hand revealing body underneath, wearing lace teddy translucent against light, silhouette effect soft romantic interior light, eye peering out teasingly","low quality...",Exposed/Teasing,1,
Finger Hair Toss,"hand tossing hair over shoulder looking back at camera, wearing low cut sweater showing cleavage, skin smooth glistening, warm amber lighting creating depth, blurred garden background lush green tones","low quality...",General,1,
Masturbation Thigh Squeeze,"lying on side hugging knee to chest with hand squeezing inner thigh above stocking line, wearing lacy bralette and panties twisted to one side, eyes closed in pleasure expression, sheet rumpled below","low quality...",Masturbation,1,
Partner Forehead Rest,"woman lying back head resting on partner's chest, partner's arm wrapped protectively around her, she looks up with adoring soft gaze, wearing silk robe open showing strap of lace bra, candlelight glow","low quality...",Sexual/Partnered,1,
Rooftop Wind Blow,"standing on rooftop edge facing wind, hair whipping across face and body, wearing flowing white dress clinging to curves, arms spread slightly for balance, sunset purple orange sky background cinematic wide shot","low quality...",Standing,1,
Mirror Floor Pose,"lying on bathroom floor looking up into handheld mirror reflecting face and cleavage below, wearing soaked t-shirt see-through nipples visible, legs bent relaxed, tiled floor reflection double exposure effect","low quality...",General,1,
Lap Kiss Tease,"sitting cross legged on couch partner kneeling before kissing inner thigh, she leans back hands gripping cushion above head, eyes half closed blissful expression, wearing shorts pulled up and no bra showing lace top","low quality...",Sexual/Partnered,1,
Chandelier Light Rim,"standing under ornate chandelier with light shining down creating starburst flare over head, wearing velvet corset dress with deep neckline, hands clasped demurely but dress hugging every curve, warm gold tones","low quality...",Lighting/Environment,1,
Knee Deep Water,"wading in knee deep ocean water at dusk, skirt clinging wet and translucent showing silhouette, arms pulling skirt sides up slightly, looking at horizon then back to camera with misty eyes, wind blowing hair","low quality...",Standing,1,
Candlelight Reading,"sitting in armchair reading paperback book by single candlelight on side table, wearing soft knit sweater slipping off shoulder, lips parted slightly while turning page, cozy intimate atmosphere shadows dancing walls","low quality...",Sitting/Kneeling,1,
